raw id,id,parent id,parent required value,type,style,layout- DH use,prompt,options,points,score,kpi,validation,default formula,default value,post prompt,Developer to notes,PGH notes,In PR?,In LTC?
2_3,pghq_PFC_leadership_2_3,,,selection,radios,,Has the facility included an overview of <b>organizational sustainability goals in New Employee Orientation</b>?,Yes|No,2|2,2|0,,,,,,,,,Yes
2_4,pghq_PFC_leadership_2_4,,,selection,radios,,Has the facility included questions about sustainability/environmental stewardship program in its <b>employee engagement/satisfaction survey</b>?,Yes|No,3|3,3|0,,,,,,,,,Yes
2_4_1,pghq_PFC_leadership_2_4_1,pghq_PFC_leadership_2_4,Yes,text,textarea,,Please indicate phrasing and any feedback the organization received (if available):,,1,1,,,,,,,,,Yes
PFC,Leadership,Finance and Reporting,,,,,,,,,,,,,,,,,Yes
3_1,pghq_PFC_leadership_3_1,,,selection,radios,,Has the facility calculated and delineated a <b>payback period / Return on Investment (ROI) / Internal Rate of Return (IRR)</b> for sustainability activities that have up-front costs as part of program development process?,Yes|No,1|1,1|0,,,,,,,,,Yes
3_1_1,pghq_PFC_leadership_3_1_1,pghq_PFC_leadership_3_1,Yes,text,textarea,,Please provide one example from <b>2013</b>:,,1,1,,,,,,,,,Yes
3_2,pghq_PFC_leadership_3_2,,,selection,radios,,Has the facility formulated a <b>sustainability program budget</b>?,Yes|No,2|2,2|0,,,,,,,,,Yes
3_3,pghq_PFC_leadership_3_3,,,selection,radios,,Has the facility developed a <b>Green Revolving Fund</b>?,Yes|No,3|3,3|0,,,,,,,,,Yes
3_3_1,pghq_PFC_leadership_3_3_1,pghq_PFC_leadership_3_3,Yes,text,textarea,,Please describe:,,1,1,,,,,,,,,Yes
3_4,pghq_PFC_leadership_3_4,,,selection,radios,,"Has the facility implemented a <b>sustainability reporting structure</b> (e.g., making certain positions accountable for reporting sustainability progress up the organizational hierarchy)? ",Yes|No,2|2,2|0,1|0,,,,,,,,Yes
3_4_1,pghq_PFC_leadership_3_4_1,pghq_PFC_leadership_3_4,Yes,text,textarea,,Please describe:,,1,1,,,,,,,,,Yes
3_5,pghq_PFC_leadership_3_5,,,selection,radios,,Has the facility implemented annual sustainability reporting to the<b> Board of Directors/Trustees</b>? ,Yes|No,3|3,3|0,,,,,,,,,Yes
3_5_1,pghq_PFC_leadership_3_5_1,pghq_PFC_leadership_3_5,Yes,text,textarea,,Please describe:,,1,1,,,,,,,,,Yes
3_6,pghq_PFC_leadership_3_6,,,selection,radios,,"Does the facility report sustainability initiatives within its <b>Community Benefit Report to the IRS</b> (for non-profit organizations) through <a href=""http://www.irs.gov/uac/About-Schedule-H-Form-990"">IRS Schedule H, Form 990</a>?",Yes|No|Not Applicable,3|3|0,3|0|0,,,,,,,,,Yes
3_6_1,pghq_PFC_leadership_3_6_1,pghq_PFC_leadership_3_6,Yes,text,textarea,,Please describe:,,1,1,,,,,,,,,Yes
3_7,pghq_PFC_leadership_3_7,,,selection,radios,,Does the facility write a <b>publicly available annual report</b> that details environmental stewardship accomplishments?,Yes|No,3|3,3|0,1|0,,,,,,,,Yes
3_7_1,pghq_PFC_leadership_3_7_1,pghq_PFC_leadership_3_7,Yes,selection,checkboxes,,Please indicate the type of report issued (Select all that apply):,Annual sustainability report|Annual sustainability report using GRI framework|Annual report|Community benefit report|Other    ,2|3|1|2|0,2|3|1|2|0,,,,,,,,,Yes
3_7_2,pghq_PFC_leadership_3_7_2,pghq_PFC_leadership_3_7_1,Other,text,textarea,,Please explain what other kind of report is issued:,,1,1,,,,,,,,,Yes
3_7_3,pghq_PFC_leadership_3_7_3,pghq_PFC_leadership_3_7,Yes,file,default,,Please attach report here or provide URL below:,,1,1,,,,,,,,,Yes
3_7_4,pghq_PFC_leadership_3_7_4,pghq_PFC_leadership_3_7,Yes,text,default,,Please provide link (URL for report) if available:,,1,1,,,,,,,,,Yes
PFC,Leadership,Communication and Community Connections,,,,,,,,,,,,,,,,,Yes
4_1,pghq_PFC_leadership_4_1,,,selection,radios,,"Has the facility developed a <a href=""https://practicegreenhealth.org/node/17654""><b>Leadership Walks, Talks and Envisions statement</b></a> for a C-level executive within your organization?",Yes|No,3|3,3|0,1|0,,,,,,,,Yes
4_1_1,pghq_PFC_leadership_4_1_1,pghq_PFC_leadership_4_1,Yes,html,non-numbered,,"For the Leadership Walks template and examples from leading health systems, <a href=""https://practicegreenhealth.org/node/17654"">click here</a>.",,,,,,,,,http://healthierhospitals.org/get-inspired/leadership-spotlight,,,Yes
4_1_2,pghq_PFC_leadership_4_1_2,pghq_PFC_leadership_4_1,Yes,file,default,,Please attach:,,1,1,,,,,,,,,Yes
4_2,pghq_PFC_leadership_4_2,,,selection,radios,,Has the facility <b>communicated sustainability goals</b> and progress from the <b>leadership team to the staff</b> at least annually?,Yes|No,2|2,2|0,,,,,,,,,Yes
4_2_1,pghq_PFC_leadership_4_2_1,pghq_PFC_leadership_4_2,Yes,text,default,,Please explain:,,1,1,,,,,,,,,Yes
4_2_2,pghq_PFC_leadership_4_2_2,pghq_PFC_leadership_4_2,Yes,file,default,,Please upload supporting documentation:,,1,1,,,,,,,,,Yes
4_3,pghq_PFC_leadership_4_3,,,text,textarea,,"Provide an example of how the organization is <b>framing environmental stewardship in alignment with other priorities</b> such as wellness, prevention, quality and population health:",,1,2,,,,,,,,,Yes
4_4,pghq_PFC_leadership_4_4,,,selection,radios,,Has the facility developed <b>education and communication strategies</b> to convey the organization’s sustainability initiatives? ,Yes|No,1|1,1|0,1|0,,,,,,,,Yes
4_4_1,pghq_PFC_leadership_4_4_1,pghq_PFC_leadership_4_4,Yes,selection,checkboxes,,Please select all that apply:,Internal webpage for staff|Public webpage|E-learning modules|Newsletter|Poster campaign|Other,2|2|3|1|1|0,2|2|3|1|1|0,,,,,,,,,Yes
4_4_2,pghq_PFC_leadership_4_4_2,pghq_PFC_leadership_4_4_1,Other,text,default,,Please describe other efforts:,,1,1,,,,,,,,,Yes
4_5,pghq_PFC_leadership_4_5,,,selection,radios,,"Does the facility display <b>visuals to patients</b> (such as segregation signage, posters, lanyards, etc.) describing  organization's <b>environmental commitment</b>?",Yes|No,1|1,1|0,,,,,,,,,Yes
4_5_1,pghq_PFC_leadership_4_5_1,pghq_PFC_leadership_4_5,Yes,text,textarea,,Please describe:,,1,1,,,,,,,,,Yes
4_6,pghq_PFC_leadership_4_6,,,selection,radios,,Does the facility include a question about sustainability in its <b>patient satisfaction survey</b>? ,Yes|No,3|3,3|0,,,,,,,,,Yes
4_6_1,pghq_PFC_leadership_4_6_1,pghq_PFC_leadership_4_6,Yes,text,textarea,,Please indicate <b>phrasing and any feedback</b> the organization received (if available):,,1,1,,,,,,,,,Yes
4_7,pghq_PFC_leadership_4_7,,,selection,radios,,"Does the facility <b>educate the community on environmental topics</b>? (E.g., provide information on proper medication disposal when issuing prescriptions or link human health to global warming) ",Yes|No,1|1,1|0,,,,,,,,,Yes
4_7_1,pghq_PFC_leadership_4_7_1,pghq_PFC_leadership_4_7,Yes,text,textarea,,Please describe:,,1,1,,,,,,,,,Yes
4_8,pghq_PFC_leadership_4_8,,,selection,radios,,Does the facility include sustainability components in <b>local or national marketing or educational campaigns</b>?,Yes|No,2|2,2|0,,,,,,,,,Yes
4_8_1,pghq_PFC_leadership_4_8_1,pghq_PFC_leadership_4_8,Yes,file,default,,Please attach example:,,1,1,,,,,,,,,Yes
4_9,pghq_PFC_leadership_4_9,,,selection,radios,,Did the facility share its environmental  sustainability successes in a <b>media story</b>?,Yes|No,2|2,2|0,,,,,,,,,Yes
4_9_1,pghq_PFC_leadership_4_9_1,pghq_PFC_leadership_4_9,Yes,file,default,,Please provide example in an attachment or URL:,,1,1,,,,,,,,,Yes
4_9_2,pghq_PFC_leadership_4_9_2,pghq_PFC_leadership_4_9,Yes,text,default,,Please provide link if available (URL for story):,,,,,,,,,,,,Yes
4_10_1,pghq_PFC_leadership_4_10_1,,,selection,radios,,Did  the facility feature a sustainability topic connecting health and the environment in at least one <b>grand rounds event this year</b>?,Yes|No,2|2,2|0,,,,,,,,,Yes
4_10_2,pghq_PFC_leadership_4_10_2,pghq_PFC_leadership_4_10_1,Yes,text,date,,"Date of event (e.g., 07/01/2013):",,1,1,,,,,,,,,Yes
4_10_3,pghq_PFC_leadership_4_10_3,pghq_PFC_leadership_4_10_1,Yes,text,default,,Title:,,1,1,,,,,,,,,Yes
4_10_4,pghq_PFC_leadership_4_10_4,pghq_PFC_leadership_4_10_1,Yes,text,default,,Name of Presenter:,,1,1,,,,,,,,,Yes
4_10_5,pghq_PFC_leadership_4_10_5,pghq_PFC_leadership_4_10_1,Yes,file,default,,Attach presentation (optional):,,,,,,,,,,,,Yes
4_11,pghq_PFC_leadership_4_11,,,selection,radios,,Did the facility <b>present publicly</b> on the organization's sustainability efforts in 2013?,Yes|No,2|2,2|0,,,,,,,,,Yes
4_11_1,pghq_PFC_leadership_4_11_1,pghq_PFC_leadership_4_11,Yes,selection,checkboxes,,Choose all that apply:,Health system meeting|Professional association meeting or conference|Other,1|1,1|1,,,,,,,,,Yes
4_11_1_1,pghq_PFC_leadership_4_11_1_1,pghq_PFC_leadership_4_11_1,Professional association meeting or conference,text,textarea,,Which meetings or conferences?,,1,1,,,,,,,,,Yes
4_12,pghq_PFC_leadership_4_12,,,selection,radios,,Did the facility provide <b>mentoring</b> to other hospitals either within health system or externally? ,Yes|No,2|2,2|0,1|0,,,,,,,,Yes
4_12_1,pghq_PFC_leadership_4_12_1,pghq_PFC_leadership_4_12,Yes,text,textarea,,Please describe:,,1,1,,,,,,,,,Yes
4_13,pghq_PFC_leadership_4_13,,,selection,radios,,"Did the facility work with <b>city government or local organizations</b> to <b>promote sustainability locally</b> or plan local event (like Clean Air days, Drug or Electronics Take Back event, etc.)?",Yes|No,2|2,2|0,,,,,,,,,Yes
4_13_1,pghq_PFC_leadership_4_13_1,pghq_PFC_leadership_4_13,Yes,text,textarea,,Please describe:,,1,1,,,,,,,,,Yes
4_14,pghq_PFC_leadership_4_14,,,selection,radios,,Are there any other <b>innovative programs or successes in leadership</b> or environmental stewardship at your facility this past year (not mentioned above) that you would like to share? This is also the place to include more socially oriented programs that your program incorporates.,Yes|No,,,,,,,,,,,Yes
4_14_1,pghq_PFC_leadership_4_14_1,pghq_PFC_leadership_4_14,Yes,text,textarea,,Please describe:,,1,1,,,,,,,,,Yes
4_14_2,pghq_PFC_leadership_4_14_2,pghq_PFC_leadership_4_14,Yes,file,default,,,,,,,,,,,,,,Yes
PFC,Waste,,,,,,,,,,,,,,,,,,Yes
1_1,pghq_PFC_waste_1_1,,,html,non-numbered,,"Practice Greenhealth recommends <b>comprehensive waste tracking</b> as a starting point for any healthcare institution looking to improve its environmental footprint. Understanding the breakdown of both cost and weight for different waste categories can be one of the easiest strategies to identify areas of opportunity and low-hanging fruit. Beyond waste data, understanding how waste can be prevented, or shifted from a more environmentally-intensive (and expensive) waste stream to a less environmentally intensive waste stream (e.g.,  from regulated medical waste into recycling) is key to truly reducing the facility's waste footprint.",,,,,,,,,,,,Yes
1_1_1,pghq_PFC_waste_1_1_1,,,html,default,,"<b>Baseline Year</b>:The facility's baseline year is generally the <b>first year the facility started tracking waste data</b>. Some facilities use the first year they applied for an Award. If 2013 is your first year of waste tracking, please enter it in the <b>Current Year</b> column, and it will be your baseline for next year's Award data. ",,,,,,,,,,,,Yes
1_1_3,pghq_PFC_waste_1_1_3,,,text,default,,<b>Baseline Year</b>:,,1,1,1,nonnegative,,,,,,,Yes
1_3,pghq_PFC_waste_1_3,,,html,non-numbered,,"The waste data in this section requires <b>12 consecutive months of waste data</b>. Please choose a timeframe that is easy for your organization (calendar year, fiscal year, or however you collect the data) and use the <b>same 12 months consistently</b> each year you apply.</p>",,,,,,,,,,,,Yes
PFC,Waste,Solid Waste,,,,,,,,,,,,,,,,,Yes
2_2,pghq_PFC_waste_2_2,,,html,non-numbered,,"Please indicate the facility’s <b>Solid Waste</b> totals in Table A below (enter a numerical response). If this is your first year applying for a PGH award, you are required to complete the <b>Current Year</b> column at a minimum. <P> If you are using a vendor that uses a <b>flat fee for integrated waste removal</b> (e.g., RMW and solid waste go out at the same price per lb.), please enter your tonnage but  <u>do not include your cost data</u> in Table A below, as it will skew the data set.",,,,,,,,,,,,Yes
2_3_tA,pghq_PFC_waste_2_3_tA,,,container,table,Solid Waste| Tons per Year Baseline| Tons per Year Current| Annual Costs Baseline| Annual Costs Current|| pghq_PFC_waste_2_3_tA_1| pghq_PFC_waste_2_3_tA_2| pghq_PFC_waste_2_3_tA_3| pghq_PFC_waste_2_3_tA_4| pghq_PFC_waste_2_3_tA_5,"<p>Table A. Solid Waste</p> (Please do not use commas or $ signs.)
",,,,,,,,,,,,Yes
2_3_tA_1,pghq_PFC_waste_2_3_tA_1,,,html,default,,Solid Waste,,,,,,,,,,,,Yes
2_3_tA_2,pghq_PFC_waste_2_3_tA_2,,,text,default,,,,,,,nonnegative,,,,,,,Yes
2_3_tA_3,pghq_PFC_waste_2_3_tA_3,,,text,default,,,,,,,nonnegative,,,,,,,Yes
2_3_tA_4,pghq_PFC_waste_2_3_tA_4,,,text,default,,,,,,,"nonzero,nonnegative, required",,,,,,,Yes
2_3_tA_5,pghq_PFC_waste_2_3_tA_5,,,text,default,,,,,,,nonnegative,,,,,,,Yes
2_3_tA_6,pghq_PFC_waste_2_3_tA_6,,,text,default,,,,,,,nonnegative,,,,,,,Yes
2_3_tA_7,pghq_PFC_waste_2_3_tA_7,,,text,default,,,,,,,"nonzero,nonnegative",,,,,,,Yes
PFC,Waste,Recycling,,,,,,,,,,,,,,,,,Yes
3_2,pghq_PFC_waste_3_2,,,selection,dropdown,,How did the recycling program fare financially? (Please select one),Made money|Lost money|Break even|Can't calculate,,,,,,,,,,,Yes
3_3,pghq_PFC_waste_3_3,,,text,textarea,,Please explain:,,1,1,,,,,,,,,Yes
3_4,pghq_PFC_waste_3_4,,,selection,radios,,Does the facility recycle clinical/medical  plastics?,Yes|No,2|2,2|0,,,,,,,,,Yes
3_4_1,pghq_PFC_waste_3_4_1,pghq_PFC_waste_3_4,Yes,selection,checkboxes,,Please choose all that apply:,Irrigation bottles|Skin prep solution bottles|Trays|Overwraps|Rigid inserts|Blue wrap|Tyvek|Basins|Urinals/Bedpans|Other,,,,,,,,,,,Yes
3_4_1_1,pghq_PFC_waste_3_4_1_1,pghq_PFC_waste_3_4_1,Other,text,default,,Please describe any other plastic items being recycled:,,,,,,,,,,,,Yes
3_4_2,pghq_PFC_waste_3_4_2,pghq_PFC_waste_3_4,Yes,html,default,,"Please indicate tonnage and cost for the selected items above in <a href=""category-link-PFC_appendixA"">Appendix A</a>.",,,,,,,,,,,,Yes
3_4_3,pghq_PFC_waste_3_4_3,pghq_PFC_waste_3_4,Yes,selection,radios,,Are you recycling clinical plastics from departments beyond the OR? ,Yes|No,1|1,1|0,,,,,,,,,Yes
3_5,pghq_PFC_waste_3_5,,,selection,radios,,Does the facility recycle precious metals from clinical devices?,Yes|No,2|2,2|0,,,,,,,,,Yes
3_5_1,pghq_PFC_waste_3_5_1,pghq_PFC_waste_3_5,Yes,text,textarea,,Please indicate which metals from which devices:,,1,1,,,,,,,,,Yes
3_5_2,pghq_PFC_waste_3_5_2,pghq_PFC_waste_3_5,Yes,html,default,,"Please indicate tonnage and cost for these materials in <a href=""category-link-PFC_appendixA"">Appendix A</a>.",,,,,,,,,Why is there no line break underneath this question?,,,Yes
PFC,Waste,Recycling,,,,,,,,,,,,,,,,,Yes
4_6,pghq_PFC_waste_4_6,,,html,default,,"Please enter the facility’s individual Recycling Totals in <a href=""category-link-PFC_appendixA"">Appendix A</a>. The data will self-populate in the <b>Current Year</b> column in Table B.",,,,,,,,,,,,Yes
4_7,pghq_PFC_waste_4_7,,,html,default,,"Please enter baseline recycling tonnage and baseline annual costs in Table B  below. If your facility has not established a baseline year, please leave <b>Baseline Year</b> column blank. <u>Do not enter zeros</u>. A negative number in cost denotes a revenue. Reuse and diversion are not included in this table but are credited elsewhere in the application. Construction & Demolition (C&D) waste recycling is tracked in the <a href=""category-link-PFC_greenbuilding"">Green Building section</a>, Table C.",,,,,,,,,,,,Yes
4_8,pghq_PFC_waste_4_8,,,html,non-numbered,, <b>PLEASE NOTE: The tonnage and costs for Current Year will be autopopulated from Appendix A.</b>,,,,,,,,,,,,Yes
4_8_tB,pghq_PFC_waste_4_8_tB,,,container,table,"Recycling Streams, TONS per Year Baseline, Annual Costs Baseline, TONS per Year Current, Annual Costs Current; Recycling (Current Year data will be entered from Appendix A), pghq_PFC_waste_4_8_tB_1, pghq_PFC_waste_4_8_tB_2, pghq_PFC_waste_4_8_tB_3, pghq_PFC_waste_4_8_tB_4; Universal Waste (Current Year data will be entered from Appendix A), pghq_PFC_waste_4_8_tB_5, pghq_PFC_waste_4_8_tB_6, pghq_PFC_waste_4_8_tB_7, pghq_PFC_waste_4_8_tB_8; Recycling Total, pghq_PFC_waste_4_8_tB_9, pghq_PFC_waste_4_8_tB_10, pghq_PFC_waste_4_8_tB_11, pghq_PFC_waste_4_8_tB_12", <b>Table B. Recycling</b>,,,,,,,,,Why is there not a hard return here before the table begins? Table B. title appears to be part of previous paragraph vs heading for table below.,,,Yes
4_8_tB_1,pghq_PFC_waste_4_8_tB_1,,,text,default,,,,,,,nonnegative,,,,,,,Yes
4_8_tB_2,pghq_PFC_waste_4_8_tB_2,,,text,default,,,,,,,nonnegative,,,,,,,Yes
4_8_tB_3,pghq_PFC_waste_4_8_tB_3,,,text,default,,,,,,,,pghq_PFC_appendixa_1_9t_1,,,,,,Yes
4_8_tB_4,pghq_PFC_waste_4_8_tB_4,,,text,default,,,,,,,integer,,,,,,,Yes
4_8_tB_5,pghq_PFC_waste_4_8_tB_5,,,text,default,,,,,,,integer,,,,,,,Yes
4_8_tB_6,pghq_PFC_waste_4_8_tB_6,,,text,default,,,,,,,,pghq_PFC_appendixa_1_9t_2,,,,,,Yes
4_8_tB_7,pghq_PFC_waste_4_8_tB_7,,,text,default,,,,,,,"nonzero,nonnegative",,,,,,,Yes
4_8_tB_8,pghq_PFC_waste_4_8_tB_8,,,text,default,,,,,,,nonzero,,,,,,,Yes
4_8_tB_9,pghq_PFC_waste_4_8_tB_9,,,text,default,,,,,,,,pghq_PFC_appendixa_1_10t_1,,,,,,Yes
4_8_tB_10,pghq_PFC_waste_4_8_tB_10,,,text,default,,,,,,,integer,,,,,,,Yes
4_8_tB_11,pghq_PFC_waste_4_8_tB_11,,,text,default,,,,,,,integer,,,,,,,Yes
4_8_tB_12,pghq_PFC_waste_4_8_tB_12,,,text,default,,,,,,,,pghq_PFC_appendixa_1_10t_2,,,,,,Yes
4_8_tB_13,pghq_PFC_waste_4_8_tB_13,,,text,default,,,,,,,"nonzero,nonnegative",,,,,,,Yes
4_8_tB_14,pghq_PFC_waste_4_8_tB_14,,,text,default,,,,,,,nonzero,,,,,,,Yes
4_8_tB_15,pghq_PFC_waste_4_8_tB_15,,,text,default,,,,,,,,pghq_PFC_appendixa_1_8t_1,,,,,,Yes
4_8_tB_16,pghq_PFC_waste_4_8_tB_16,,,text,default,,,,,,,integer,,,,,,,Yes
4_8_tB_17,pghq_PFC_waste_4_8_tB_17,,,text,default,,,,,,,integer,,,,,,,Yes
4_8_tB_18,pghq_PFC_waste_4_8_tB_18,,,text,default,,,,,,,,pghq_PFC_appendixa_1_8t_2,,,,,,Yes
PFC,Waste,Waste Reduction Activities,,,,,,,,,,,,,,,,,Yes
5_9,pghq_PFC_waste_5_9,,,selection,radios,,"Has the facility developed an <b>internal reuse</b> program or strategy for office supplies, clinical products and equipment, and furniture before making these materials available for external donation?",Yes|No,2|2,2|0,,,,,,,,,Yes
5_9_1,pghq_PFC_waste_5_9_1,pghq_PFC_waste_5_9,Yes,selection,checkboxes,,Please indicate which materials are being <b>reused internally</b> (check all that apply):,Clinical supplies|Furniture|Office supplies|Chemicals|Other,1|1|1|1|0,1|1|1|1|0,,,,,,,,,Yes
5_9_1_1,pghq_PFC_waste_5_9_1_1,pghq_PFC_waste_5_9_1,Other,text,default,,Please describe which other items are being reused internally:,,1,1,,,,,,,,,Yes
5_9_2,pghq_PFC_waste_5_9_2,pghq_PFC_waste_5_9,Yes,text,textarea,,Please describe reuse program:,,1,1,,,,,,,,,Yes
5_10,pghq_PFC_waste_5_10,,,selection,radios,,"Has the facility developed an equipment and supplies <b>donation</b> program (domestic or abroad) for materials, equipment and furniture that can no longer be used internally? The Catholic Health Association provides an excellent discussion and resources on <a href=""http://www.chausa.org/internationaloutreach/medical-surplus-recovery"">Medical Surplus Recovery</a>.",Yes|No,2|2,2|0,,,,,,,,,Yes
5_10_1,pghq_PFC_waste_5_10_1,pghq_PFC_waste_5_10,Yes,selection,checkboxes,,Please indicate which items are routinely donated:,Unexpired/unopened consumable clinical supplies|Expired/opened consumable clinical supplies|Capital medical equipment|Electronics|Furniture|Linens|Other supplies,1|1|1|1|1|1|1,1|1|1|1|1|1|1,,,,,,,,,Yes
5_10_1_1,pghq_PFC_waste_5_10_1_1,pghq_PFC_waste_5_10_1,Other supplies,text,default,,Please describe other items being donated:,,1,1,,,,,,,,,Yes
5_10_2,pghq_PFC_waste_5_10_2,pghq_PFC_waste_5_10,Yes,selection,radios,,"Does organization ensure all donated medical supplies, equipment and electronics are <b>actually needed</b>, such as working with an organization that ensures the <b>needs of developing countries are met</b> with the donated items?  ",Yes|No,,,,,,,,,,,Yes
5_10_2_1,pghq_PFC_waste_5_10_2_1,pghq_PFC_waste_5_10_2,Yes,text,textarea,,Please outline your quality assurance process or attach your policy:,,1,1,,,,,,,,,Yes
5_10_2_2,pghq_PFC_waste_5_10_2_2,pghq_PFC_waste_5_10_2,Yes,file,default,,Please attach policy:,,1,1,,,,,,,,,Yes
5_10_2_3,pghq_PFC_waste_5_10_2_3,pghq_PFC_waste_5_10_2,Yes,text,default,,Please indicate donation vendor:,,,,,,,,,,,,Yes
5_12,pghq_PFC_waste_5_12,,,selection,radios,,Does the facility use <b> reusable totes</b> for supply delivery?,Yes|No,3|3,3|0,3|0,,,,,,,,Yes
5_12_1,pghq_PFC_waste_5_12_1,pghq_PFC_waste_5_12,Yes,text,textarea,,Please describe program:,,1,1,,,,,,,,,Yes
5_13,pghq_PFC_waste_5_13,,,selection,radios,,Has the facility switched <b>other disposable containers</b> to reusables? ,Yes|No,2|2,2|0,,,,,,,,,Yes
5_13_1,pghq_PFC_waste_5_13_1,pghq_PFC_waste_5_13,Yes,selection,checkboxes,,Please select all that apply:,Shipping containers|RMW shipping containers|Pharmacy waste containers|Other,1|1|1|0,1|1|1|0,,,,,,,,,Yes
5_13_1_1,pghq_PFC_waste_5_13_1_1,pghq_PFC_waste_5_13_1,Other,text,default,,Please describe:,,1,1,,,,,,,,,Yes
